id,Material,Thermal Conductivity,Thermal Diffusivity,Specific Heat Capacity,Thermal Effusivity,Material Density
0,1-dodecene,0.14,0.0856,2150,478.5,761
1,abs resin (high k),0.209,0.13,1506,572,1040
2,abs resin (low k),0.138,0.09,1506,465,1040
3,acetal resin (delrin),0.23,0.11,1464,692,1420
4,acetone,0.181,0.1,2160,556,790
5,acetylene,0.5,0.27,3000,960.5,615
6,acrylic (high k),0.251,0.15,1423,655,1200
7,acrylic (lucite plexiglass),0.152,0.1,1297,486,1200
8,actinium,12.552,9.9,126,3989,10100
9,air,0.025,19.4,1004,6,1.29
10,alkyd isocyanate foam,0.05,0.19,1674,116,160
11,allyl cast resins (high heat capacity),0.205,0.07,2343,790,1300
12,allyl cast resins (low heat capacity),0.205,0.15,1088,538,1300
13,alumina brick (Al2O3 53) (20 p),1.381,0.79,753,1557,2330
14,alumina brick (Al2O3 83) (28 p),1.506,0.78,753,1707,2570
15,alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2600,2900
16,alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2507,2850
17,alumina porcelain (high k),18.828,6.97,795,7134,3400
18,aluminum,225.94,91,921,23688,2698
19,aluminum (liquid),92.048,36,1084,15345,2360
20,aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,17127,2660
21,aluminum alloy (Al84.0 cast or tempd),83.68,35.3,879,14089,2700
22,aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,17256,2700
23,aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,18638,2700
24,aluminum alloy (Al90.0 cast or tempd),104.6,44.1,879,15752,2700
25,aluminum alloy (Al92.0 wrot or annld),167.36,70.6,879,19925,2700
26,aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,18638,2700
27,aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,17256,2700
28,aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,19925,2700
29,aluminum alloy (Al96.0 wrot or annld),188.28,79.4,879,21134,2700
30,aluminum alloy (Al96.5 cast or tempd),146.44,61.7,879,18638,2700
