temperature(°C),Feed(mm/min),Speed(RPM),Depth of Cut (mm),time(s)
35.25,11,450,1.4,00:00
34.5,11,450,1.4,00:05
34.5,11,450,1.4,00:09
34.5,11,450,1.4,00:13
35,11,450,1.4,00:17
34.25,11,450,1.4,00:21
34.25,11,450,1.4,00:25
34.75,11,450,1.4,00:29
35.25,11,450,1.4,00:33
35.75,11,450,1.4,00:37
36.5,11,450,1.4,00:41
37.25,11,450,1.4,00:45
37.75,11,450,1.4,00:50
38,11,450,1.4,00:54
39.75,11,450,1.4,00:58
40.25,11,450,1.4,01:02
41,11,450,1.4,01:06
41.75,11,450,1.4,01:10
41.75,11,450,1.4,01:14
42.75,11,450,1.4,01:18
43.75,11,450,1.4,01:22
44.75,11,450,1.4,01:26
45,11,450,1.4,01:31
45.75,11,450,1.4,01:35
46.25,11,450,1.4,01:39
47,11,450,1.4,01:43
47.5,11,450,1.4,01:47
48.5,11,450,1.4,01:51
49,11,450,1.4,01:55
49.5,11,450,1.4,01:59
50.5,11,450,1.4,02:03
50.25,11,450,1.4,02:08
51.5,11,450,1.4,02:12
52,11,450,1.4,02:16
52.25,11,450,1.4,02:20
52.5,11,450,1.4,02:24
52.5,11,450,1.4,02:28
53.75,11,450,1.4,02:32
54,11,450,1.4,02:36
54,11,450,1.4,02:40
54,11,450,1.4,02:45
55.25,11,450,1.4,02:49
56,11,450,1.4,02:53
56.25,11,450,1.4,02:57
56.25,11,450,1.4,03:01
56.25,11,450,1.4,03:05
57,11,450,1.4,03:09
57.25,11,450,1.4,03:13
57.75,11,450,1.4,03:17
57.5,11,450,1.4,03:22
58.5,11,450,1.4,03:26
58.75,11,450,1.4,03:30
59.5,11,450,1.4,03:34
